class, bb_st_px, bb_st_py, bb_ed_px, bb_end_py, m11, m12, m21, m22, m31, m32, ct_px, ct_py, st_px, st_py, ed_px, ed_py, pt_px, pt_py
0,262.8365,281.0,1000.0,1000.0,0.8016438,-0.0027541711,0.0065664304,1.1977966,1.3654771e-06,0.00015817028,249,213,171,291,324,285,140,199
0,43.288376,38.78113,1000.0,1000.0,0.87119055,0.00010103113,-0.0073664193,0.9940537,0.0006980538,0.0005896336,249,213,171,291,324,285,140,199
0,226.0,23.0,1204.0146,1000.0,0.85064524,-0.0057686307,-0.0057266303,1.002192,-0.00051231426,-0.00041055877,241,209,162,288,322,286,235,89
0,74.97329,185.78127,1000.0,1000.0,1.1963322,-0.0037153754,0.0030584454,0.98411113,0.00047096214,0.00043132756,245,251,156,351,329,347,244,109
0,104.61003,187.0,1000.0,1000.0,0.814415,0.006525361,0.0013608991,1.0058302,-0.00012089052,0.00028013843,241,209,162,288,322,286,235,89
0,277.0,276.0,1674.679,1618.3756,0.9889258,-0.0016427796,0.0076861517,0.92977846,-0.0003631304,-0.0007165242,255,201,183,274,326,268,184,273
0,95.0,122.8038,1000.0,1000.0,1.1358197,-0.00659092,0.0047678696,0.8839776,0.000660894,-0.00029171957,252,235,177,336,325,340,194,87
0,129.18954,256.0,1000.0,1000.0,1.1959463,-0.0027888156,-0.0031034457,0.90749097,-9.838873e-05,0.00028510115,252,235,177,336,325,340,194,87
0,122.0,169.84209,1000.0,1000.0,0.8776824,0.0014729609,0.005825438,1.1594895,0.00014213956,-0.00035097272,245,251,156,351,329,347,244,109
0,264.0,167.0,1000.0,1000.0,0.87701803,-0.0057625705,-0.0073112412,1.1664587,-0.00023545719,-2.2512184e-05,250,200,166,273,342,272,144,257
